date,used
10/28/2019,12266
10/29/2019,11950
10/30/2019,11529
10/31/2019,8049
11/1/2019,7731
11/2/2019,12236
11/3/2019,12524
11/4/2019,12279
11/5/2019,12452
11/6/2019,11909
11/7/2019,8517
11/8/2019,7324
11/9/2019,11688
11/10/2019,12451
11/11/2019,12311
11/12/2019,12329
11/13/2019,11643
11/14/2019,8221
11/15/2019,7378
11/16/2019,11791
11/17/2019,12321
11/18/2019,12230
11/19/2019,12504
11/20/2019,12495
11/21/2019,8392
11/22/2019,7427
11/23/2019,12419
11/24/2019,13051
11/25/2019,11745
11/26/2019,7332
11/27/2019,8942
11/28/2019,7734
11/29/2019,7230
11/30/2019,12214
12/1/2019,13185
12/2/2019,12708
12/3/2019,12281
12/4/2019,11828
12/5/2019,8262
12/6/2019,7194
12/7/2019,11567
12/8/2019,12328
12/9/2019,11857
12/10/2019,12259
12/11/2019,11406
12/12/2019,8073
12/13/2019,7262
12/14/2019,11753
12/15/2019,12437
12/16/2019,12282
12/17/2019,12339
12/18/2019,12247
12/19/2019,8368
12/20/2019,7361
12/21/2019,12692
12/22/2019,13131
12/23/2019,11595
12/24/2019,8714
12/25/2019,6515
12/26/2019,7294
12/27/2019,7518
12/28/2019,13100
12/29/2019,13458
12/30/2019,13100
12/31/2019,11608
