date,used,wday,year,month,day_of_year,day_of_month,day_of_week
4/12/2019,7141,Sun,2019,4,102,12,1
4/13/2019,11503,Mon,2019,4,103,13,2
4/14/2019,12309,Tue,2019,4,104,14,3
4/15/2019,11794,Wed,2019,4,105,15,4
4/16/2019,11947,Thu,2019,4,106,16,5
4/17/2019,11718,Fri,2019,4,107,17,6
4/18/2019,8028,Sat,2019,4,108,18,7
4/19/2019,7180,Sun,2019,4,109,19,1
4/20/2019,11513,Mon,2019,4,110,20,2
4/21/2019,12173,Tue,2019,4,111,21,3
4/22/2019,11917,Wed,2019,4,112,22,4
4/23/2019,11877,Thu,2019,4,113,23,5
4/24/2019,11749,Fri,2019,4,114,24,6
4/25/2019,8101,Sat,2019,4,115,25,7
4/26/2019,7178,Sun,2019,4,116,26,1
4/27/2019,11494,Mon,2019,4,117,27,2
4/28/2019,12221,Tue,2019,4,118,28,3
4/29/2019,11775,Wed,2019,4,119,29,4
4/30/2019,11831,Thu,2019,4,120,30,5
5/1/2019,12178,Fri,2019,5,121,1,6
5/2/2019,8075,Sat,2019,5,122,2,7
5/3/2019,7195,Sun,2019,5,123,3,1
5/4/2019,11724,Mon,2019,5,124,4,2
5/5/2019,12618,Tue,2019,5,125,5,3
5/6/2019,11924,Wed,2019,5,126,6,4
5/7/2019,11649,Thu,2019,5,127,7,5
5/8/2019,11810,Fri,2019,5,128,8,6
5/9/2019,8216,Sat,2019,5,129,9,7
5/10/2019,7246,Sun,2019,5,130,10,1
5/11/2019,11549,Mon,2019,5,131,11,2
5/12/2019,12400,Tue,2019,5,132,12,3
5/13/2019,11572,Wed,2019,5,133,13,4
5/14/2019,11793,Thu,2019,5,134,14,5
5/15/2019,12306,Fri,2019,5,135,15,6
5/16/2019,8337,Sat,2019,5,136,16,7
5/17/2019,7354,Sun,2019,5,137,17,1
5/18/2019,11708,Mon,2019,5,138,18,2
5/19/2019,12469,Tue,2019,5,139,19,3
5/20/2019,12352,Wed,2019,5,140,20,4
5/21/2019,12246,Thu,2019,5,141,21,5
5/22/2019,12147,Fri,2019,5,142,22,6
5/23/2019,8267,Sat,2019,5,143,23,7
5/24/2019,7261,Sun,2019,5,144,24,1
5/25/2019,7746,Mon,2019,5,145,25,2
5/26/2019,12242,Tue,2019,5,146,26,3
5/27/2019,12845,Wed,2019,5,147,27,4
5/28/2019,12722,Thu,2019,5,148,28,5
5/29/2019,12168,Fri,2019,5,149,29,6
5/30/2019,8431,Sat,2019,5,150,30,7
5/31/2019,7367,Sun,2019,5,151,31,1
6/1/2019,11793,Mon,2019,6,152,1,2
6/2/2019,11994,Tue,2019,6,153,2,3
6/3/2019,11890,Wed,2019,6,154,3,4
6/4/2019,11918,Thu,2019,6,155,4,5
6/5/2019,12303,Fri,2019,6,156,5,6
6/6/2019,8313,Sat,2019,6,157,6,7
6/7/2019,7230,Sun,2019,6,158,7,1
6/8/2019,11938,Mon,2019,6,159,8,2
6/9/2019,12479,Tue,2019,6,160,9,3
6/10/2019,12123,Wed,2019,6,161,10,4
6/11/2019,12029,Thu,2019,6,162,11,5
6/12/2019,12064,Fri,2019,6,163,12,6
6/13/2019,8104,Sat,2019,6,164,13,7
6/14/2019,7292,Sun,2019,6,165,14,1
6/15/2019,12348,Mon,2019,6,166,15,2
6/16/2019,12400,Tue,2019,6,167,16,3
6/17/2019,12192,Wed,2019,6,168,17,4
6/18/2019,12323,Thu,2019,6,169,18,5
6/19/2019,11767,Fri,2019,6,170,19,6
6/20/2019,8451,Sat,2019,6,171,20,7
6/21/2019,7580,Sun,2019,6,172,21,1
6/22/2019,11883,Mon,2019,6,173,22,2
6/23/2019,12351,Tue,2019,6,174,23,3
6/24/2019,12292,Wed,2019,6,175,24,4
6/25/2019,12416,Thu,2019,6,176,25,5
6/26/2019,12152,Fri,2019,6,177,26,6
6/27/2019,8652,Sat,2019,6,178,27,7
6/28/2019,7371,Sun,2019,6,179,28,1
6/29/2019,11961,Mon,2019,6,180,29,2
6/30/2019,12932,Tue,2019,6,181,30,3
7/1/2019,13033,Wed,2019,7,182,1,4
7/2/2019,13038,Thu,2019,7,183,2,5
7/3/2019,10375,Fri,2019,7,184,3,6
7/4/2019,7944,Sat,2019,7,185,4,7
7/5/2019,7164,Sun,2019,7,186,5,1
7/6/2019,12088,Mon,2019,7,187,6,2
7/7/2019,13426,Tue,2019,7,188,7,3
7/8/2019,12788,Wed,2019,7,189,8,4
7/9/2019,12517,Thu,2019,7,190,9,5
7/10/2019,12396,Fri,2019,7,191,10,6
7/11/2019,8769,Sat,2019,7,192,11,7
7/12/2019,7591,Sun,2019,7,193,12,1
7/13/2019,11835,Mon,2019,7,194,13,2
7/14/2019,12862,Tue,2019,7,195,14,3
7/15/2019,12853,Wed,2019,7,196,15,4
7/16/2019,12502,Thu,2019,7,197,16,5
7/17/2019,12291,Fri,2019,7,198,17,6
7/18/2019,8546,Sat,2019,7,199,18,7
7/19/2019,7681,Sun,2019,7,200,19,1
7/20/2019,12424,Mon,2019,7,201,20,2
7/21/2019,13264,Tue,2019,7,202,21,3
7/22/2019,12519,Wed,2019,7,203,22,4
7/23/2019,12852,Thu,2019,7,204,23,5
7/24/2019,12612,Fri,2019,7,205,24,6
7/25/2019,8748,Sat,2019,7,206,25,7
7/26/2019,7836,Sun,2019,7,207,26,1
7/27/2019,12416,Mon,2019,7,208,27,2
7/28/2019,13240,Tue,2019,7,209,28,3
7/29/2019,12739,Wed,2019,7,210,29,4
7/30/2019,12797,Thu,2019,7,211,30,5
7/31/2019,12269,Fri,2019,7,212,31,6
8/1/2019,8851,Sat,2019,8,213,1,7
8/2/2019,7907,Sun,2019,8,214,2,1
8/3/2019,12449,Mon,2019,8,215,3,2
8/4/2019,13149,Tue,2019,8,216,4,3
8/5/2019,12793,Wed,2019,8,217,5,4
8/6/2019,12872,Thu,2019,8,218,6,5
8/7/2019,12770,Fri,2019,8,219,7,6
8/8/2019,8956,Sat,2019,8,220,8,7
8/9/2019,7726,Sun,2019,8,221,9,1
8/10/2019,12333,Mon,2019,8,222,10,2
8/11/2019,13010,Tue,2019,8,223,11,3
8/12/2019,12960,Wed,2019,8,224,12,4
8/13/2019,12591,Thu,2019,8,225,13,5
8/14/2019,12861,Fri,2019,8,226,14,6
8/15/2019,8938,Sat,2019,8,227,15,7
8/16/2019,7896,Sun,2019,8,228,16,1
8/17/2019,12337,Mon,2019,8,229,17,2
8/18/2019,13197,Tue,2019,8,230,18,3
8/19/2019,12966,Wed,2019,8,231,19,4
8/20/2019,13002,Thu,2019,8,232,20,5
8/21/2019,12834,Fri,2019,8,233,21,6
8/22/2019,9153,Sat,2019,8,234,22,7
8/23/2019,7821,Sun,2019,8,235,23,1
8/24/2019,12274,Mon,2019,8,236,24,2
8/25/2019,13149,Tue,2019,8,237,25,3
8/26/2019,12729,Wed,2019,8,238,26,4
8/27/2019,12829,Thu,2019,8,239,27,5
8/28/2019,12719,Fri,2019,8,240,28,6
8/29/2019,8772,Sat,2019,8,241,29,7
8/30/2019,7805,Sun,2019,8,242,30,1
8/31/2019,12142,Mon,2019,8,243,31,2
9/1/2019,13231,Tue,2019,9,244,1,3
9/2/2019,12799,Wed,2019,9,245,2,4
9/3/2019,12839,Thu,2019,9,246,3,5
9/4/2019,12862,Fri,2019,9,247,4,6
9/5/2019,8950,Sat,2019,9,248,5,7
9/6/2019,7778,Sun,2019,9,249,6,1
9/7/2019,8127,Mon,2019,9,250,7,2
9/8/2019,12823,Tue,2019,9,251,8,3
9/9/2019,13949,Wed,2019,9,252,9,4
9/10/2019,13925,Thu,2019,9,253,10,5
9/11/2019,12295,Fri,2019,9,254,11,6
9/12/2019,9062,Sat,2019,9,255,12,7
9/13/2019,7900,Sun,2019,9,256,13,1
9/14/2019,12699,Mon,2019,9,257,14,2
9/15/2019,13439,Tue,2019,9,258,15,3
9/16/2019,13136,Wed,2019,9,259,16,4
9/17/2019,13319,Thu,2019,9,260,17,5
9/18/2019,13229,Fri,2019,9,261,18,6
9/19/2019,9195,Sat,2019,9,262,19,7
9/20/2019,8078,Sun,2019,9,263,20,1
9/21/2019,12567,Mon,2019,9,264,21,2
9/22/2019,13047,Tue,2019,9,265,22,3
9/23/2019,12595,Wed,2019,9,266,23,4
9/24/2019,12942,Thu,2019,9,267,24,5
9/25/2019,12792,Fri,2019,9,268,25,6
9/26/2019,8927,Sat,2019,9,269,26,7
9/27/2019,7778,Sun,2019,9,270,27,1
9/28/2019,12158,Mon,2019,9,271,28,2
9/29/2019,12791,Tue,2019,9,272,29,3
9/30/2019,12284,Wed,2019,9,273,30,4
10/1/2019,13043,Thu,2019,10,274,1,5
10/2/2019,12399,Fri,2019,10,275,2,6
10/3/2019,8579,Sat,2019,10,276,3,7
10/4/2019,7530,Sun,2019,10,277,4,1
10/5/2019,12166,Mon,2019,10,278,5,2
10/6/2019,12520,Tue,2019,10,279,6,3
10/7/2019,12429,Wed,2019,10,280,7,4
10/8/2019,12458,Thu,2019,10,281,8,5
10/9/2019,12282,Fri,2019,10,282,9,6
10/10/2019,8550,Sat,2019,10,283,10,7
10/11/2019,7571,Sun,2019,10,284,11,1
10/12/2019,11633,Mon,2019,10,285,12,2
10/13/2019,12094,Tue,2019,10,286,13,3
10/14/2019,12205,Wed,2019,10,287,14,4
10/15/2019,12522,Thu,2019,10,288,15,5
10/16/2019,11917,Fri,2019,10,289,16,6
10/17/2019,8233,Sat,2019,10,290,17,7
10/18/2019,7211,Sun,2019,10,291,18,1
10/19/2019,11388,Mon,2019,10,292,19,2
10/20/2019,12500,Tue,2019,10,293,20,3
10/21/2019,12093,Wed,2019,10,294,21,4
10/22/2019,12013,Thu,2019,10,295,22,5
10/23/2019,11942,Fri,2019,10,296,23,6
10/24/2019,8239,Sat,2019,10,297,24,7
10/25/2019,7288,Sun,2019,10,298,25,1
10/26/2019,11923,Mon,2019,10,299,26,2
10/27/2019,12485,Tue,2019,10,300,27,3
10/28/2019,12266,Wed,2019,10,301,28,4
10/29/2019,11950,Thu,2019,10,302,29,5
10/30/2019,11529,Fri,2019,10,303,30,6
10/31/2019,8049,Sat,2019,10,304,31,7
11/1/2019,7731,Sun,2019,11,305,1,1
11/2/2019,12236,Mon,2019,11,306,2,2
11/3/2019,12524,Tue,2019,11,307,3,3
11/4/2019,12279,Wed,2019,11,308,4,4
11/5/2019,12452,Thu,2019,11,309,5,5
11/6/2019,11909,Fri,2019,11,310,6,6
11/7/2019,8517,Sat,2019,11,311,7,7
11/8/2019,7324,Sun,2019,11,312,8,1
11/9/2019,11688,Mon,2019,11,313,9,2
11/10/2019,12451,Tue,2019,11,314,10,3
11/11/2019,12311,Wed,2019,11,315,11,4
11/12/2019,12329,Thu,2019,11,316,12,5
11/13/2019,11643,Fri,2019,11,317,13,6
11/14/2019,8221,Sat,2019,11,318,14,7
11/15/2019,7378,Sun,2019,11,319,15,1
11/16/2019,11791,Mon,2019,11,320,16,2
11/17/2019,12321,Tue,2019,11,321,17,3
11/18/2019,12230,Wed,2019,11,322,18,4
11/19/2019,12504,Thu,2019,11,323,19,5
11/20/2019,12495,Fri,2019,11,324,20,6
11/21/2019,8392,Sat,2019,11,325,21,7
11/22/2019,7427,Sun,2019,11,326,22,1
11/23/2019,12419,Mon,2019,11,327,23,2
11/24/2019,13051,Tue,2019,11,328,24,3
11/25/2019,11745,Wed,2019,11,329,25,4
11/26/2019,7332,Thu,2019,11,330,26,5
11/27/2019,8942,Fri,2019,11,331,27,6
11/28/2019,7734,Sat,2019,11,332,28,7
11/29/2019,7230,Sun,2019,11,333,29,1
11/30/2019,12214,Mon,2019,11,334,30,2
12/1/2019,13185,Tue,2019,12,335,1,3
12/2/2019,12708,Wed,2019,12,336,2,4
12/3/2019,12281,Thu,2019,12,337,3,5
12/4/2019,11828,Fri,2019,12,338,4,6
12/5/2019,8262,Sat,2019,12,339,5,7
12/6/2019,7194,Sun,2019,12,340,6,1
12/7/2019,11567,Mon,2019,12,341,7,2
12/8/2019,12328,Tue,2019,12,342,8,3
12/9/2019,11857,Wed,2019,12,343,9,4
12/10/2019,12259,Thu,2019,12,344,10,5
12/11/2019,11406,Fri,2019,12,345,11,6
12/12/2019,8073,Sat,2019,12,346,12,7
12/13/2019,7262,Sun,2019,12,347,13,1
12/14/2019,11753,Mon,2019,12,348,14,2
12/15/2019,12437,Tue,2019,12,349,15,3
12/16/2019,12282,Wed,2019,12,350,16,4
12/17/2019,12339,Thu,2019,12,351,17,5
12/18/2019,12247,Fri,2019,12,352,18,6
12/19/2019,8368,Sat,2019,12,353,19,7
12/20/2019,7361,Sun,2019,12,354,20,1
12/21/2019,12692,Mon,2019,12,355,21,2
12/22/2019,13131,Tue,2019,12,356,22,3
12/23/2019,11595,Wed,2019,12,357,23,4
12/24/2019,8714,Thu,2019,12,358,24,5
12/25/2019,6515,Fri,2019,12,359,25,6
12/26/2019,7294,Sat,2019,12,360,26,7
12/27/2019,7518,Sun,2019,12,361,27,1
12/28/2019,13100,Mon,2019,12,362,28,2
12/29/2019,13458,Tue,2019,12,363,29,3
12/30/2019,13100,Wed,2019,12,364,30,4
12/31/2019,11608,Thu,2019,12,365,31,5
