date,supplies,postcode
1/16/2014,9,2170
1/17/2014,8,2749
1/18/2014,10,2144
1/19/2014,8,3805
1/20/2014,9,2047
1/21/2014,10,2100
1/22/2014,2,2642
1/23/2014,8,3228
1/24/2014,10,2145
1/25/2014,5,2287
1/26/2014,7,3444
1/27/2014,11,2076
1/28/2014,7,4124
1/29/2014,12,3191
1/30/2014,3,4305
1/31/2014,11,3195
2/1/2014,5,2579
2/2/2014,1,2835
2/3/2014,3,3337
2/4/2014,4,2536
2/5/2014,8,2770
2/6/2014,1,2646
2/7/2014,8,2756
2/8/2014,10,3133
2/9/2014,9,2066
2/10/2014,8,2750
2/11/2014,8,2750
2/12/2014,3,4558
2/13/2014,9,2211
2/14/2014,8,2570
2/15/2014,9,2170
2/16/2014,4,4552
2/17/2014,8,3082
2/18/2014,1,2360
2/19/2014,8,4223
2/20/2014,7,3183
2/21/2014,3,2330
2/22/2014,11,2031
2/23/2014,2,4370
2/24/2014,11,3150
2/25/2014,3,2549
2/26/2014,8,3040
2/27/2014,11,2065
2/28/2014,10,2065
3/1/2014,3,2340
3/2/2014,7,4209
3/3/2014,7,4173
3/4/2014,10,2065
3/5/2014,2,3204
3/6/2014,10,2210
3/7/2014,12,2068
3/8/2014,10,2085
3/9/2014,7,3064
3/10/2014,4,3074
3/11/2014,8,3806
3/12/2014,6,2259
3/13/2014,8,2260
3/14/2014,6,4074
3/15/2014,7,4215
3/16/2014,6,2160
3/17/2014,5,3008
3/18/2014,9,2217
3/19/2014,10,2213
3/20/2014,10,2748
3/21/2014,7,2567
3/22/2014,10,2096
3/23/2014,10,3192
3/24/2014,8,3015
3/25/2014,10,2170
3/26/2014,10,4221
3/27/2014,10,2233
3/28/2014,7,2145
3/29/2014,9,2759
3/30/2014,8,3121
3/31/2014,5,4870
4/1/2014,2,3337
4/2/2014,10,2118
4/3/2014,6,2259
4/4/2014,7,2760
4/5/2014,11,3150
4/6/2014,5,2770
4/7/2014,9,2763
4/8/2014,9,2050
4/9/2014,9,3058
4/10/2014,12,2074
4/11/2014,11,2120
4/12/2014,8,3812
4/13/2014,9,2147
4/14/2014,9,3111
4/15/2014,9,2567
4/16/2014,10,3012
4/17/2014,8,4217
4/18/2014,9,2197
4/19/2014,8,2142
4/20/2014,4,2340
4/21/2014,6,2320
4/22/2014,9,2155
4/23/2014,9,2046
4/24/2014,9,3162
4/25/2014,9,2037
4/26/2014,3,2428
4/27/2014,7,3141
4/28/2014,9,3178
4/29/2014,2,3564
4/30/2014,4,3550
5/1/2014,11,3070
5/2/2014,10,3775
5/3/2014,9,3004
5/4/2014,10,4226
5/5/2014,10,2026
5/6/2014,9,3185
5/7/2014,9,2015
5/8/2014,9,3012
5/9/2014,3,2447
5/10/2014,7,3143
5/11/2014,7,3910
5/12/2014,8,3621
5/13/2014,3,4702
5/14/2014,10,2133
5/15/2014,7,3075
5/16/2014,9,2069
5/17/2014,10,3911
5/18/2014,8,2250
5/19/2014,9,2487
5/20/2014,6,4123
5/21/2014,8,2151
5/22/2014,3,2428
5/23/2014,8,3156
5/24/2014,12,3126
5/25/2014,10,3152
5/26/2014,12,2026
5/27/2014,8,2233
5/28/2014,11,2027
5/29/2014,8,4208
5/30/2014,12,3124
5/31/2014,9,2211
6/1/2014,8,2564
6/2/2014,9,4221
6/3/2014,10,2049
6/4/2014,5,3690
6/5/2014,2,3282
6/6/2014,12,2068
6/7/2014,8,2261
6/8/2014,10,2576
6/9/2014,9,2160
6/10/2014,10,3108
6/11/2014,7,2145
6/12/2014,5,4165
6/13/2014,7,2021
6/14/2014,11,2218
6/15/2014,12,3124
6/16/2014,7,2145
6/17/2014,10,2190
6/18/2014,7,4211
6/19/2014,9,3170
6/20/2014,9,2170
6/21/2014,10,3130
6/22/2014,6,2337
6/23/2014,4,2307
6/24/2014,10,2121
6/25/2014,8,2761
6/26/2014,2,2340
6/27/2014,9,2745
6/28/2014,7,4127
6/29/2014,1,2716
6/30/2014,6,3168
7/1/2014,7,3076
7/2/2014,9,2750
7/3/2014,7,2166
7/4/2014,9,2031
7/5/2014,4,3564
7/6/2014,8,2478
7/7/2014,2,4127
7/8/2014,7,3016
7/9/2014,10,2116
7/10/2014,1,3356
7/11/2014,8,2560
7/12/2014,3,4680
7/13/2014,5,4740
7/14/2014,9,2760
7/15/2014,8,2065
7/16/2014,12,2230
7/17/2014,11,2087
7/18/2014,8,4505
7/19/2014,2,2630
7/20/2014,10,2225
7/21/2014,10,3121
7/22/2014,10,3013
7/23/2014,8,3136
7/24/2014,12,2111
7/25/2014,11,2209
7/26/2014,10,2106
7/27/2014,8,3930
7/28/2014,10,3182
7/29/2014,10,2097
7/30/2014,7,2287
7/31/2014,9,2291
8/1/2014,4,2283
8/2/2014,7,2305
8/3/2014,10,2300
8/4/2014,4,4179
8/5/2014,9,2539
8/6/2014,8,3207
8/7/2014,1,2630
8/8/2014,11,2154
8/9/2014,11,2036
8/10/2014,11,2133
8/11/2014,8,4300
8/12/2014,4,2340
8/13/2014,9,2010
8/14/2014,4,4305
8/15/2014,2,4340
8/16/2014,7,3137
8/17/2014,12,2075
8/18/2014,8,3068
8/19/2014,8,2148
8/20/2014,11,2539
8/21/2014,3,4580
8/22/2014,5,4300
8/23/2014,8,2750
8/24/2014,8,2761
8/25/2014,8,2566
8/26/2014,11,2041
8/27/2014,6,4504
8/28/2014,9,2176
8/29/2014,6,2036
8/30/2014,8,4551
8/31/2014,11,2087
9/1/2014,9,2212
9/2/2014,11,2035
9/3/2014,9,4120
9/4/2014,4,2306
9/5/2014,7,4075
9/6/2014,7,3975
9/7/2014,9,2066
9/8/2014,3,4114
9/9/2014,7,2763
9/10/2014,3,4341
9/11/2014,3,4022
9/12/2014,8,2168
9/13/2014,7,4116
9/14/2014,7,4178
9/15/2014,5,4123
9/16/2014,4,4132
9/17/2014,1,4820
9/18/2014,10,2153
9/19/2014,8,3076
9/20/2014,8,3028
9/21/2014,8,4035
9/22/2014,3,2326
9/23/2014,8,2145
9/24/2014,9,2747
9/25/2014,8,2759
9/26/2014,6,3429
9/27/2014,7,2148
9/28/2014,9,2204
9/29/2014,6,3337
9/30/2014,8,4218
10/1/2014,4,3011
10/2/2014,1,2380
10/3/2014,10,3015
10/4/2014,2,3564
10/5/2014,9,3171
10/6/2014,7,4551
10/7/2014,8,2560
10/8/2014,7,2565
10/9/2014,12,2035
10/10/2014,3,3850
10/11/2014,4,2519
10/12/2014,8,2166
10/13/2014,8,3807
10/14/2014,5,3032
10/15/2014,7,4800
10/16/2014,9,3025
10/17/2014,12,2121
10/18/2014,10,2570
10/19/2014,7,2577
10/20/2014,9,3084
10/21/2014,9,2199
10/22/2014,5,4870
10/23/2014,10,4171
10/24/2014,8,3975
10/25/2014,12,2134
10/26/2014,9,2066
10/27/2014,7,4053
10/28/2014,2,4740
10/29/2014,10,2260
10/30/2014,1,2800
10/31/2014,7,2304
11/1/2014,7,3752
11/2/2014,12,2048
11/3/2014,8,2194
11/4/2014,10,2216
11/5/2014,7,4352
11/6/2014,9,2557
11/7/2014,7,2209
11/8/2014,9,2147
11/9/2014,8,2548
11/10/2014,7,2262
11/11/2014,9,2763
11/12/2014,4,2463
11/13/2014,9,2481
11/14/2014,12,2072
11/15/2014,8,3155
11/16/2014,10,3095
11/17/2014,7,4207
11/18/2014,7,2577
11/19/2014,9,2160
11/20/2014,4,4110
11/21/2014,8,2017
11/22/2014,8,2745
11/23/2014,10,2769
11/24/2014,7,4214
11/25/2014,7,3805
11/26/2014,6,2770
11/27/2014,3,2322
11/28/2014,5,4562
11/29/2014,12,2117
11/30/2014,6,2283
12/1/2014,11,2571
12/2/2014,10,2233
12/3/2014,1,3480
12/4/2014,9,3011
12/5/2014,3,3551
12/6/2014,9,3136
12/7/2014,8,2753
12/8/2014,7,3093
12/9/2014,9,2232
12/10/2014,6,3023
12/11/2014,10,2153
12/12/2014,9,2176
12/13/2014,7,2304
12/14/2014,9,2567
12/15/2014,11,4217
12/16/2014,1,4615
12/17/2014,10,2026
12/18/2014,8,3174
12/19/2014,9,2777
12/20/2014,9,2199
12/21/2014,8,2190
12/22/2014,8,4221
12/23/2014,8,2766
12/24/2014,3,3551
12/25/2014,6,3429
12/26/2014,9,3150
12/27/2014,10,3183
12/28/2014,9,2145
12/29/2014,11,2154
12/30/2014,10,2192
12/31/2014,10,2145
1/1/2015,7,2290
1/2/2015,5,3073
1/3/2015,2,4811
1/4/2015,5,4005
1/5/2015,11,3191
1/6/2015,2,4810
1/7/2015,9,4121
1/8/2015,9,2100
1/9/2015,10,2031
1/10/2015,11,3111
1/11/2015,5,4305
1/12/2015,8,3137
1/13/2015,11,2229
1/14/2015,9,2176
1/15/2015,12,3068
1/16/2015,8,2263
1/17/2015,10,2117
1/18/2015,3,4118
1/19/2015,3,2594
1/20/2015,4,3850
1/21/2015,4,2536
1/22/2015,7,3750
1/23/2015,8,4019
1/24/2015,10,2197
1/25/2015,10,2227
1/26/2015,9,2540
1/27/2015,9,2293
1/28/2015,8,2560
1/29/2015,5,2143
1/30/2015,1,4305
1/31/2015,1,3630
2/1/2015,8,2164
2/2/2015,8,2148
2/3/2015,9,2759
2/4/2015,8,2150
2/5/2015,10,3121
2/6/2015,4,4350
2/7/2015,7,2567
2/8/2015,3,4305
2/9/2015,8,3183
2/10/2015,4,4350
2/11/2015,4,4869
2/12/2015,9,2145
2/13/2015,9,2137
2/14/2015,9,2093
2/15/2015,3,2354
2/16/2015,10,2190
2/17/2015,3,4019
2/18/2015,2,4814
2/19/2015,6,3201
2/20/2015,8,2282
2/21/2015,10,2223
2/22/2015,7,2292
2/23/2015,9,2141
2/24/2015,11,2126
2/25/2015,9,3046
2/26/2015,10,3008
2/27/2015,7,2830
2/28/2015,10,2099
3/1/2015,3,2250
3/2/2015,9,2171
3/3/2015,8,3076
3/4/2015,8,2077
3/5/2015,9,3156
3/6/2015,8,2756
3/7/2015,4,4873
3/8/2015,3,4514
3/9/2015,7,4210
3/10/2015,7,4551
3/11/2015,7,4006
3/12/2015,8,2754
3/13/2015,9,2767
3/14/2015,8,2282
3/15/2015,2,3810
3/16/2015,8,2137
3/17/2015,9,2173
3/18/2015,10,2152
3/19/2015,4,2340
3/20/2015,12,2088
3/21/2015,8,3805
3/22/2015,11,2067
3/23/2015,10,2122
3/24/2015,5,3976
3/25/2015,11,2067
3/26/2015,12,2000
3/27/2015,12,2040
3/28/2015,8,2530
3/29/2015,5,3175
3/30/2015,11,2156
3/31/2015,3,4127
4/1/2015,12,2066
4/2/2015,8,2759
4/3/2015,11,4171
4/4/2015,11,2073
4/5/2015,8,3218
4/6/2015,8,2228
4/7/2015,4,4207
4/8/2015,3,4114
4/9/2015,7,2430
4/10/2015,7,3199
4/11/2015,10,2192
4/12/2015,10,4210
4/13/2015,8,2290
4/14/2015,3,4350
4/15/2015,1,2880
4/16/2015,3,4413
4/17/2015,11,3187
4/18/2015,6,3028
4/19/2015,10,2166
4/20/2015,5,2680
4/21/2015,7,2527
4/22/2015,9,2147
4/23/2015,7,2141
4/24/2015,7,4215
4/25/2015,7,4701
4/26/2015,9,2163
4/27/2015,10,4220
4/28/2015,7,2336
4/29/2015,2,2650
4/30/2015,7,3031
5/1/2015,2,4415
5/2/2015,7,3139
5/3/2015,4,4122
5/4/2015,7,4055
5/5/2015,10,2150
5/6/2015,9,4020
5/7/2015,8,3975
5/8/2015,10,3147
5/9/2015,1,3623
5/10/2015,8,4122
5/11/2015,5,4356
5/12/2015,7,2216
5/13/2015,12,3124
5/14/2015,10,2768
5/15/2015,10,2065
5/16/2015,9,2753
5/17/2015,10,2034
5/18/2015,3,2650
5/19/2015,7,2287
5/20/2015,10,2010
5/21/2015,9,3034
5/22/2015,10,2196
5/23/2015,8,2177
5/24/2015,5,4800
5/25/2015,10,2219
5/26/2015,10,2234
5/27/2015,5,4812
5/28/2015,12,2065
5/29/2015,3,2537
5/30/2015,10,3191
5/31/2015,8,4870
6/1/2015,10,2065
6/2/2015,4,2830
6/3/2015,1,4720
6/4/2015,9,4213
6/5/2015,11,2026
6/6/2015,12,3124
6/7/2015,8,3765
6/8/2015,8,2148
6/9/2015,9,2165
6/10/2015,9,2756
6/11/2015,8,2767
6/12/2015,10,2153
6/13/2015,8,2148
6/14/2015,7,2486
6/15/2015,8,3228
6/16/2015,5,4511
6/17/2015,3,2340
6/18/2015,5,4110
6/19/2015,7,4226
6/20/2015,3,4506
6/21/2015,9,3150
6/22/2015,9,2026
6/23/2015,8,3084
6/24/2015,7,3802
6/25/2015,10,2116
6/26/2015,8,2747
6/27/2015,10,2211
6/28/2015,7,2222
6/29/2015,8,3124
6/30/2015,5,2795
7/1/2015,8,2567
7/2/2015,9,3188
7/3/2015,4,3730
7/4/2015,10,2234
7/5/2015,10,2062
7/6/2015,11,2027
7/7/2015,8,3060
7/8/2015,4,4131
7/9/2015,10,2518
7/10/2015,4,2323
7/11/2015,8,2766
7/12/2015,8,3199
7/13/2015,8,3158
7/14/2015,12,3188
7/15/2015,6,2477
7/16/2015,8,3143
7/17/2015,7,2770
7/18/2015,9,2195
7/19/2015,12,2036
7/20/2015,10,2575
7/21/2015,2,3400
7/22/2015,8,2145
7/23/2015,7,3037
7/24/2015,9,2233
7/25/2015,2,4570
7/26/2015,8,4507
7/27/2015,8,4220
7/28/2015,11,2113
7/29/2015,3,3799
7/30/2015,6,4505
7/31/2015,10,2229
8/1/2015,7,3021
8/2/2015,6,2443
8/3/2015,9,2010
8/4/2015,5,4218
8/5/2015,9,2570
8/6/2015,7,3752
8/7/2015,1,4720
8/8/2015,6,3177
8/9/2015,9,2192
8/10/2015,12,2069
8/11/2015,10,3111
8/12/2015,12,2023
8/13/2015,9,2033
8/14/2015,8,3030
8/15/2015,8,2148
8/16/2015,8,3147
8/17/2015,10,2196
8/18/2015,12,2089
8/19/2015,1,2641
8/20/2015,10,4212
8/21/2015,5,3241
8/22/2015,6,2450
8/23/2015,5,4209
8/24/2015,10,2026
8/25/2015,7,3428
8/26/2015,5,4227
8/27/2015,7,3806
8/28/2015,7,4034
8/29/2015,8,2760
8/30/2015,8,3175
8/31/2015,7,2558
9/1/2015,1,2460
9/2/2015,9,3173
9/3/2015,8,2289
9/4/2015,9,2031
9/5/2015,6,2250
9/6/2015,11,2027
9/7/2015,7,3111
9/8/2015,4,4500
9/9/2015,3,4825
9/10/2015,9,4213
9/11/2015,6,4161
9/12/2015,4,4018
9/13/2015,7,2560
9/14/2015,9,3757
9/15/2015,9,3073
9/16/2015,3,2871
9/17/2015,10,3141
9/18/2015,5,4034
9/19/2015,10,2194
9/20/2015,9,2146
9/21/2015,9,2768
9/22/2015,9,3073
9/23/2015,9,3136
9/24/2015,3,4869
9/25/2015,12,3127
9/26/2015,7,4078
9/27/2015,6,3182
9/28/2015,9,2165
9/29/2015,8,3046
9/30/2015,12,2066
10/1/2015,12,2065
10/2/2015,9,4380
10/3/2015,4,2340
10/4/2015,9,2769
10/5/2015,9,4220
10/6/2015,8,2179
10/7/2015,8,2527
10/8/2015,8,3024
10/9/2015,11,3934
10/10/2015,11,2027
10/11/2015,10,3109
10/12/2015,8,2540
10/13/2015,10,2145
10/14/2015,8,2761
10/15/2015,10,2136
10/16/2015,8,2145
10/17/2015,9,3124
10/18/2015,8,3046
10/19/2015,10,2153
10/20/2015,12,2069
10/21/2015,9,2046
10/22/2015,6,2484
10/23/2015,7,3225
10/24/2015,7,4053
10/25/2015,11,3145
10/26/2015,9,4068
10/27/2015,3,2324
10/28/2015,9,2214
10/29/2015,12,2041
10/30/2015,11,2031
10/31/2015,6,3809
11/1/2015,4,2454
11/2/2015,8,4556
11/3/2015,10,2065
11/4/2015,11,2216
11/5/2015,7,4573
11/6/2015,1,4570
11/7/2015,11,2154
11/8/2015,9,2171
11/9/2015,7,2871
11/10/2015,9,3034
11/11/2015,8,3082
11/12/2015,11,2131
11/13/2015,10,3207
11/14/2015,11,3184
11/15/2015,5,2250
11/16/2015,11,2118
11/17/2015,10,2570
11/18/2015,7,2260
11/19/2015,12,2065
11/20/2015,6,3977
11/21/2015,11,2016
11/22/2015,11,2112
11/23/2015,12,2137
11/24/2015,11,2228
11/25/2015,10,2217
11/26/2015,8,2223
11/27/2015,9,2018
11/28/2015,10,3109
11/29/2015,9,2315
11/30/2015,8,2170
12/1/2015,7,4053
12/2/2015,4,4300
12/3/2015,7,2619
12/4/2015,3,2452
12/5/2015,10,2229
12/6/2015,3,2800
12/7/2015,1,2880
12/8/2015,9,2515
12/9/2015,7,4020
12/10/2015,9,2193
12/11/2015,9,2064
12/12/2015,9,4220
12/13/2015,8,2450
12/14/2015,9,4152
12/15/2015,8,4035
12/16/2015,4,2322
12/17/2015,7,4509
12/18/2015,9,3138
12/19/2015,5,3029
12/20/2015,9,3441
12/21/2015,9,3136
12/22/2015,11,2121
12/23/2015,7,3023
12/24/2015,3,3337
12/25/2015,10,2216
12/26/2015,7,4074
12/27/2015,9,2101
12/28/2015,9,2153
12/29/2015,8,2164
12/30/2015,9,2160
12/31/2015,8,2756
1/1/2016,3,4510
1/2/2016,11,2075
1/3/2016,3,2647
1/4/2016,10,2154
1/5/2016,6,2565
1/6/2016,4,2731
1/7/2016,11,3185
1/8/2016,9,2164
1/9/2016,5,2323
1/10/2016,9,3130
1/11/2016,7,3757
1/12/2016,6,3284
1/13/2016,11,2204
1/14/2016,12,2037
1/15/2016,7,4211
1/16/2016,10,2153
1/17/2016,9,2527
1/18/2016,9,2747
1/19/2016,8,2152
1/20/2016,11,2118
1/21/2016,9,2168
1/22/2016,11,2067
1/23/2016,8,3021
1/24/2016,7,2573
1/25/2016,11,2118
1/26/2016,9,2759
1/27/2016,11,3185
1/28/2016,10,2206
1/29/2016,4,4869
1/30/2016,8,4226
1/31/2016,12,2062
2/1/2016,3,4814
2/2/2016,7,3076
2/3/2016,4,4815
2/4/2016,11,2076
2/5/2016,6,2539
2/6/2016,9,2147
2/7/2016,3,3184
2/8/2016,6,4503
2/9/2016,2,4127
2/10/2016,10,2206
2/11/2016,11,3162
2/12/2016,9,2526
2/13/2016,5,2579
2/14/2016,9,2177
2/15/2016,10,3165
2/16/2016,4,3201
2/17/2016,9,2768
2/18/2016,5,2160
2/19/2016,7,2148
2/20/2016,4,4502
2/21/2016,9,2166
2/22/2016,10,4551
2/23/2016,4,4127
2/24/2016,11,2222
2/25/2016,1,2710
2/26/2016,3,4510
2/27/2016,12,2090
2/28/2016,4,3038
2/29/2016,8,3551
3/1/2016,7,2250
3/2/2016,7,4122
3/3/2016,10,3031
3/4/2016,9,3145
3/5/2016,9,3142
3/6/2016,1,2710
3/7/2016,8,2576
3/8/2016,6,4209
3/9/2016,8,3442
3/10/2016,10,2153
