date,supplies
12/12/2009,2330
12/13/2009,2759
12/14/2009,2069
12/15/2009,2747
12/16/2009,2227
12/17/2009,2025
12/18/2009,3191
12/19/2009,3025
12/20/2009,2263
12/21/2009,2233
12/22/2009,2154
12/23/2009,2065
12/24/2009,2119
12/25/2009,3016
12/26/2009,4113
12/27/2009,2032
12/28/2009,4300
12/29/2009,4352
12/30/2009,3020
12/31/2009,2116
1/1/2010,3057
1/2/2010,2099
1/3/2010,3749
1/4/2010,2766
1/5/2010,2148
1/6/2010,3145
1/7/2010,2021
1/8/2010,2333
1/9/2010,2783
1/10/2010,2280
1/11/2010,4120
1/12/2010,3638
1/13/2010,4300
1/14/2010,2074
1/15/2010,2880
1/16/2010,2430
1/17/2010,4560
1/18/2010,2088
1/19/2010,2220
1/20/2010,3031
1/21/2010,2250
1/22/2010,2261
1/23/2010,3196
1/24/2010,4352
1/25/2010,4680
1/26/2010,3143
1/27/2010,2747
1/28/2010,2063
1/29/2010,3021
1/30/2010,2138
1/31/2010,4005
2/1/2010,2233
2/2/2010,4811
2/3/2010,2085
2/4/2010,3084
2/5/2010,3170
2/6/2010,2066
2/7/2010,4113
2/8/2010,4078
2/9/2010,2222
2/10/2010,3152
2/11/2010,2159
2/12/2010,4503
2/13/2010,4655
2/14/2010,4220
2/15/2010,4012
2/16/2010,2153
2/17/2010,2070
2/18/2010,2015
2/19/2010,2776
2/20/2010,3011
2/21/2010,2761
2/22/2010,2015
2/23/2010,2502
2/24/2010,2110
2/25/2010,2566
2/26/2010,2519
2/27/2010,2506
2/28/2010,2209
3/1/2010,2116
3/2/2010,2075
3/3/2010,2226
3/4/2010,2145
3/5/2010,2508
3/6/2010,2036
3/7/2010,2018
3/8/2010,3666
3/9/2010,2021
3/10/2010,2750
3/11/2010,4514
3/12/2010,2525
3/13/2010,4152
3/14/2010,2200
3/15/2010,2250
3/16/2010,3023
3/17/2010,3500
3/18/2010,4300
3/19/2010,2283
3/20/2010,2102
3/21/2010,2204
3/22/2010,2040
3/23/2010,2749
3/24/2010,2304
3/25/2010,2340
3/26/2010,3580
3/27/2010,3355
3/28/2010,2287
3/29/2010,2324
3/30/2010,2323
3/31/2010,2320
4/1/2010,4680
4/2/2010,2346
4/3/2010,2031
4/4/2010,2064
4/5/2010,2176
4/6/2010,3195
4/7/2010,2010
4/8/2010,2768
4/9/2010,2752
4/10/2010,3802
4/11/2010,3071
4/12/2010,4735
4/13/2010,2065
4/14/2010,3081
4/15/2010,3205
4/16/2010,2165
4/17/2010,3125
4/18/2010,4214
4/19/2010,2030
4/20/2010,2036
4/21/2010,2767
4/22/2010,2798
4/23/2010,4211
4/24/2010,4508
4/25/2010,2032
4/26/2010,2117
4/27/2010,4551
4/28/2010,2765
4/29/2010,3064
4/30/2010,2023
5/1/2010,2766
5/2/2010,3810
5/3/2010,4151
5/4/2010,2830
5/5/2010,3030
5/6/2010,4812
5/7/2010,2141
5/8/2010,3810
5/9/2010,3029
5/10/2010,2173
5/11/2010,3199
5/12/2010,2320
5/13/2010,4506
5/14/2010,2516
5/15/2010,2035
5/16/2010,2747
5/17/2010,3030
5/18/2010,3152
5/19/2010,3340
5/20/2010,3182
5/21/2010,2450
5/22/2010,2227
5/23/2010,2216
5/24/2010,3796
5/25/2010,3064
5/26/2010,3197
5/27/2010,3064
5/28/2010,2232
5/29/2010,2365
5/30/2010,2747
5/31/2010,4701
6/1/2010,4503
6/2/2010,4350
6/3/2010,4210
6/4/2010,2223
6/5/2010,4122
6/6/2010,2515
6/7/2010,4214
6/8/2010,3437
6/9/2010,3338
6/10/2010,2203
6/11/2010,2088
6/12/2010,4226
6/13/2010,4213
6/14/2010,3356
6/15/2010,3223
6/16/2010,3032
6/17/2010,3105
6/18/2010,3101
6/19/2010,2763
6/20/2010,2089
6/21/2010,2759
6/22/2010,2040
6/23/2010,2126
6/24/2010,2147
6/25/2010,2251
6/26/2010,2155
6/27/2010,2153
6/28/2010,2768
6/29/2010,3127
6/30/2010,3087
7/1/2010,3131
7/2/2010,4350
7/3/2010,3134
7/4/2010,2830
7/5/2010,2193
7/6/2010,4055
7/7/2010,3199
7/8/2010,2170
7/9/2010,2322
7/10/2010,2530
7/11/2010,2075
7/12/2010,2340
7/13/2010,2066
7/14/2010,4217
7/15/2010,4020
7/16/2010,2096
7/17/2010,2179
7/18/2010,4127
7/19/2010,3130
7/20/2010,4570
7/21/2010,3215
7/22/2010,3101
7/23/2010,3931
7/24/2010,3165
7/25/2010,2166
7/26/2010,3936
7/27/2010,2265
7/28/2010,2203
7/29/2010,3034
7/30/2010,4670
7/31/2010,2062
8/1/2010,2162
8/2/2010,4170
8/3/2010,3033
8/4/2010,2170
8/5/2010,2749
8/6/2010,2144
8/7/2010,3805
8/8/2010,2047
8/9/2010,2100
8/10/2010,2642
8/11/2010,3228
8/12/2010,2145
8/13/2010,2287
8/14/2010,3444
8/15/2010,2076
8/16/2010,4124
8/17/2010,3191
8/18/2010,4305
8/19/2010,3195
8/20/2010,2579
8/21/2010,2835
8/22/2010,3337
8/23/2010,2536
8/24/2010,2770
8/25/2010,2646
8/26/2010,2756
8/27/2010,3133
8/28/2010,2066
8/29/2010,2750
8/30/2010,2750
8/31/2010,4558
9/1/2010,2211
9/2/2010,2570
9/3/2010,2170
9/4/2010,4552
9/5/2010,3082
9/6/2010,2360
9/7/2010,4223
9/8/2010,3183
9/9/2010,2330
9/10/2010,2031
9/11/2010,4370
9/12/2010,3150
9/13/2010,2549
9/14/2010,3040
9/15/2010,2065
9/16/2010,2065
9/17/2010,2340
9/18/2010,4209
9/19/2010,4173
9/20/2010,2065
9/21/2010,3204
9/22/2010,2210
9/23/2010,2068
9/24/2010,2085
9/25/2010,3064
9/26/2010,3074
9/27/2010,3806
9/28/2010,2259
9/29/2010,2260
9/30/2010,4074
10/1/2010,4215
10/2/2010,2160
10/3/2010,3008
10/4/2010,2217
10/5/2010,2213
10/6/2010,2748
10/7/2010,2567
10/8/2010,2096
10/9/2010,3192
10/10/2010,3015
10/11/2010,2170
10/12/2010,4221
10/13/2010,2233
10/14/2010,2145
10/15/2010,2759
10/16/2010,3121
10/17/2010,4870
10/18/2010,3337
10/19/2010,2118
10/20/2010,2259
10/21/2010,2760
10/22/2010,3150
10/23/2010,2770
10/24/2010,2763
10/25/2010,2050
10/26/2010,3058
10/27/2010,2074
10/28/2010,2120
10/29/2010,3812
10/30/2010,2147
10/31/2010,3111
11/1/2010,2567
11/2/2010,3012
11/3/2010,4217
11/4/2010,2197
11/5/2010,2142
11/6/2010,2340
11/7/2010,2320
11/8/2010,2155
11/9/2010,2046
11/10/2010,3162
11/11/2010,2037
11/12/2010,2428
11/13/2010,3141
11/14/2010,3178
11/15/2010,3564
11/16/2010,3550
11/17/2010,3070
11/18/2010,3775
11/19/2010,3004
11/20/2010,4226
11/21/2010,2026
11/22/2010,3185
11/23/2010,2015
11/24/2010,3012
11/25/2010,2447
11/26/2010,3143
11/27/2010,3910
11/28/2010,3621
11/29/2010,4702
11/30/2010,2133
12/1/2010,3075
12/2/2010,2069
12/3/2010,3911
12/4/2010,2250
12/5/2010,2487
12/6/2010,4123
12/7/2010,2151
12/8/2010,2428
12/9/2010,3156
12/10/2010,3126
12/11/2010,3152
12/12/2010,2026
12/13/2010,2233
12/14/2010,2027
12/15/2010,4208
12/16/2010,3124
12/17/2010,2211
12/18/2010,2564
12/19/2010,4221
12/20/2010,2049
12/21/2010,3690
12/22/2010,3282
12/23/2010,2068
12/24/2010,2261
12/25/2010,2576
12/26/2010,2160
12/27/2010,3108
12/28/2010,2145
12/29/2010,4165
12/30/2010,2021
12/31/2010,2218
1/1/2011,3124
1/2/2011,2145
1/3/2011,2190
1/4/2011,4211
1/5/2011,3170
1/6/2011,2170
1/7/2011,3130
1/8/2011,2337
1/9/2011,2307
1/10/2011,2121
1/11/2011,2761
1/12/2011,2340
1/13/2011,2745
1/14/2011,4127
1/15/2011,2716
1/16/2011,3168
1/17/2011,3076
1/18/2011,2750
1/19/2011,2166
1/20/2011,2031
1/21/2011,3564
1/22/2011,2478
1/23/2011,4127
1/24/2011,3016
1/25/2011,2116
1/26/2011,3356
1/27/2011,2560
1/28/2011,4680
1/29/2011,4740
1/30/2011,2760
1/31/2011,2065
2/1/2011,2230
2/2/2011,2087
2/3/2011,4505
2/4/2011,2630
2/5/2011,2225
2/6/2011,3121
2/7/2011,3013
2/8/2011,3136
2/9/2011,2111
2/10/2011,2209
2/11/2011,2106
2/12/2011,3930
2/13/2011,3182
2/14/2011,2097
2/15/2011,2287
2/16/2011,2291
2/17/2011,2283
2/18/2011,2305
2/19/2011,2300
2/20/2011,4179
2/21/2011,2539
2/22/2011,3207
2/23/2011,2630
2/24/2011,2154
2/25/2011,2036
2/26/2011,2133
2/27/2011,4300
2/28/2011,2340
3/1/2011,2010
3/2/2011,4305
3/3/2011,4340
3/4/2011,3137
3/5/2011,2075
3/6/2011,3068
3/7/2011,2148
3/8/2011,2539
3/9/2011,4580
3/10/2011,4300
3/11/2011,2750
3/12/2011,2761
3/13/2011,2566
3/14/2011,2041
3/15/2011,4504
3/16/2011,2176
3/17/2011,2036
3/18/2011,4551
3/19/2011,2087
3/20/2011,2212
3/21/2011,2035
3/22/2011,4120
3/23/2011,2306
3/24/2011,4075
3/25/2011,3975
3/26/2011,2066
3/27/2011,4114
3/28/2011,2763
3/29/2011,4341
3/30/2011,4022
3/31/2011,2168
4/1/2011,4116
4/2/2011,4178
4/3/2011,4123
4/4/2011,4132
4/5/2011,4820
4/6/2011,2153
4/7/2011,3076
4/8/2011,3028
4/9/2011,4035
4/10/2011,2326
4/11/2011,2145
4/12/2011,2747
4/13/2011,2759
4/14/2011,3429
4/15/2011,2148
4/16/2011,2204
4/17/2011,3337
4/18/2011,4218
4/19/2011,3011
4/20/2011,2380
4/21/2011,3015
4/22/2011,3564
4/23/2011,3171
4/24/2011,4551
4/25/2011,2560
4/26/2011,2565
4/27/2011,2035
4/28/2011,3850
4/29/2011,2519
4/30/2011,2166
5/1/2011,3807
5/2/2011,3032
5/3/2011,4800
5/4/2011,3025
5/5/2011,2121
5/6/2011,2570
5/7/2011,2577
5/8/2011,3084
5/9/2011,2199
5/10/2011,4870
5/11/2011,4171
5/12/2011,3975
5/13/2011,2134
5/14/2011,2066
5/15/2011,4053
5/16/2011,4740
5/17/2011,2260
5/18/2011,2800
5/19/2011,2304
5/20/2011,3752
5/21/2011,2048
5/22/2011,2194
5/23/2011,2216
5/24/2011,4352
5/25/2011,2557
5/26/2011,2209
5/27/2011,2147
5/28/2011,2548
5/29/2011,2262
5/30/2011,2763
5/31/2011,2463
6/1/2011,2481
6/2/2011,2072
6/3/2011,3155
6/4/2011,3095
6/5/2011,4207
6/6/2011,2577
6/7/2011,2160
6/8/2011,4110
6/9/2011,2017
6/10/2011,2745
6/11/2011,2769
6/12/2011,4214
6/13/2011,3805
6/14/2011,2770
6/15/2011,2322
6/16/2011,4562
6/17/2011,2117
6/18/2011,2283
6/19/2011,2571
6/20/2011,2233
6/21/2011,3480
6/22/2011,3011
6/23/2011,3551
6/24/2011,3136
6/25/2011,2753
6/26/2011,3093
6/27/2011,2232
6/28/2011,3023
6/29/2011,2153
6/30/2011,2176
7/1/2011,2304
7/2/2011,2567
7/3/2011,4217
7/4/2011,4615
7/5/2011,2026
7/6/2011,3174
7/7/2011,2777
7/8/2011,2199
7/9/2011,2190
7/10/2011,4221
7/11/2011,2766
7/12/2011,3551
7/13/2011,3429
7/14/2011,3150
7/15/2011,3183
7/16/2011,2145
7/17/2011,2154
7/18/2011,2192
7/19/2011,2145
7/20/2011,2290
7/21/2011,3073
7/22/2011,4811
7/23/2011,4005
7/24/2011,3191
7/25/2011,4810
7/26/2011,4121
7/27/2011,2100
7/28/2011,2031
7/29/2011,3111
7/30/2011,4305
7/31/2011,3137
8/1/2011,2229
8/2/2011,2176
8/3/2011,3068
8/4/2011,2263
8/5/2011,2117
8/6/2011,4118
8/7/2011,2594
8/8/2011,3850
8/9/2011,2536
8/10/2011,3750
8/11/2011,4019
8/12/2011,2197
8/13/2011,2227
8/14/2011,2540
8/15/2011,2293
8/16/2011,2560
8/17/2011,2143
8/18/2011,4305
8/19/2011,3630
8/20/2011,2164
8/21/2011,2148
8/22/2011,2759
8/23/2011,2150
8/24/2011,3121
8/25/2011,4350
8/26/2011,2567
8/27/2011,4305
8/28/2011,3183
8/29/2011,4350
8/30/2011,4869
8/31/2011,2145
9/1/2011,2137
9/2/2011,2093
9/3/2011,2354
9/4/2011,2190
9/5/2011,4019
9/6/2011,4814
9/7/2011,3201
9/8/2011,2282
9/9/2011,2223
9/10/2011,2292
9/11/2011,2141
9/12/2011,2126
9/13/2011,3046
9/14/2011,3008
9/15/2011,2830
9/16/2011,2099
9/17/2011,2250
9/18/2011,2171
9/19/2011,3076
9/20/2011,2077
9/21/2011,3156
9/22/2011,2756
9/23/2011,4873
9/24/2011,4514
9/25/2011,4210
9/26/2011,4551
9/27/2011,4006
9/28/2011,2754
9/29/2011,2767
9/30/2011,2282
10/1/2011,3810
10/2/2011,2137
10/3/2011,2173
10/4/2011,2152
10/5/2011,2340
10/6/2011,2088
10/7/2011,3805
10/8/2011,2067
10/9/2011,2122
10/10/2011,3976
10/11/2011,2067
10/12/2011,2000
10/13/2011,2040
10/14/2011,2530
10/15/2011,3175
10/16/2011,2156
10/17/2011,4127
10/18/2011,2066
10/19/2011,2759
10/20/2011,4171
10/21/2011,2073
10/22/2011,3218
10/23/2011,2228
10/24/2011,4207
10/25/2011,4114
10/26/2011,2430
10/27/2011,3199
10/28/2011,2192
10/29/2011,4210
10/30/2011,2290
10/31/2011,4350
11/1/2011,2880
11/2/2011,4413
11/3/2011,3187
11/4/2011,3028
11/5/2011,2166
11/6/2011,2680
11/7/2011,2527
11/8/2011,2147
11/9/2011,2141
11/10/2011,4215
11/11/2011,4701
11/12/2011,2163
11/13/2011,4220
11/14/2011,2336
11/15/2011,2650
11/16/2011,3031
11/17/2011,4415
11/18/2011,3139
11/19/2011,4122
11/20/2011,4055
11/21/2011,2150
11/22/2011,4020
11/23/2011,3975
11/24/2011,3147
11/25/2011,3623
11/26/2011,4122
11/27/2011,4356
11/28/2011,2216
11/29/2011,3124
11/30/2011,2768
12/1/2011,2065
12/2/2011,2753
12/3/2011,2034
12/4/2011,2650
12/5/2011,2287
12/6/2011,2010
12/7/2011,3034
12/8/2011,2196
12/9/2011,2177
12/10/2011,4800
12/11/2011,2219
12/12/2011,2234
12/13/2011,4812
12/14/2011,2065
12/15/2011,2537
12/16/2011,3191
12/17/2011,4870
12/18/2011,2065
12/19/2011,2830
12/20/2011,4720
12/21/2011,4213
12/22/2011,2026
12/23/2011,3124
12/24/2011,3765
12/25/2011,2148
12/26/2011,2165
12/27/2011,2756
12/28/2011,2767
12/29/2011,2153
12/30/2011,2148
12/31/2011,2486
1/1/2012,3228
1/2/2012,4511
1/3/2012,2340
1/4/2012,4110
1/5/2012,4226
1/6/2012,4506
1/7/2012,3150
1/8/2012,2026
1/9/2012,3084
1/10/2012,3802
1/11/2012,2116
1/12/2012,2747
1/13/2012,2211
1/14/2012,2222
1/15/2012,3124
1/16/2012,2795
1/17/2012,2567
1/18/2012,3188
1/19/2012,3730
1/20/2012,2234
1/21/2012,2062
1/22/2012,2027
1/23/2012,3060
1/24/2012,4131
1/25/2012,2518
1/26/2012,2323
1/27/2012,2766
1/28/2012,3199
1/29/2012,3158
1/30/2012,3188
1/31/2012,2477
2/1/2012,3143
2/2/2012,2770
2/3/2012,2195
2/4/2012,2036
2/5/2012,2575
2/6/2012,3400
2/7/2012,2145
2/8/2012,3037
2/9/2012,2233
2/10/2012,4570
2/11/2012,4507
2/12/2012,4220
2/13/2012,2113
2/14/2012,3799
2/15/2012,4505
2/16/2012,2229
2/17/2012,3021
2/18/2012,2443
2/19/2012,2010
2/20/2012,4218
2/21/2012,2570
2/22/2012,3752
2/23/2012,4720
2/24/2012,3177
2/25/2012,2192
2/26/2012,2069
2/27/2012,3111
2/28/2012,2023
2/29/2012,2033
3/1/2012,3030
3/2/2012,2148
3/3/2012,3147
3/4/2012,2196
3/5/2012,2089
3/6/2012,2641
3/7/2012,4212
3/8/2012,3241
3/9/2012,2450
3/10/2012,4209
3/11/2012,2026
3/12/2012,3428
3/13/2012,4227
3/14/2012,3806
3/15/2012,4034
3/16/2012,2760
3/17/2012,3175
3/18/2012,2558
3/19/2012,2460
3/20/2012,3173
3/21/2012,2289
3/22/2012,2031
3/23/2012,2250
3/24/2012,2027
3/25/2012,3111
3/26/2012,4500
3/27/2012,4825
3/28/2012,4213
3/29/2012,4161
3/30/2012,4018
3/31/2012,2560
4/1/2012,3757
4/2/2012,3073
4/3/2012,2871
4/4/2012,3141
4/5/2012,4034
4/6/2012,2194
4/7/2012,2146
4/8/2012,2768
4/9/2012,3073
4/10/2012,3136
4/11/2012,4869
4/12/2012,3127
4/13/2012,4078
4/14/2012,3182
4/15/2012,2165
4/16/2012,3046
4/17/2012,2066
4/18/2012,2065
4/19/2012,4380
4/20/2012,2340
4/21/2012,2769
4/22/2012,4220
4/23/2012,2179
4/24/2012,2527
4/25/2012,3024
4/26/2012,3934
4/27/2012,2027
4/28/2012,3109
4/29/2012,2540
4/30/2012,2145
5/1/2012,2761
5/2/2012,2136
5/3/2012,2145
5/4/2012,3124
5/5/2012,3046
5/6/2012,2153
5/7/2012,2069
5/8/2012,2046
5/9/2012,2484
5/10/2012,3225
5/11/2012,4053
5/12/2012,3145
5/13/2012,4068
5/14/2012,2324
5/15/2012,2214
5/16/2012,2041
5/17/2012,2031
5/18/2012,3809
5/19/2012,2454
5/20/2012,4556
5/21/2012,2065
5/22/2012,2216
5/23/2012,4573
5/24/2012,4570
5/25/2012,2154
5/26/2012,2171
5/27/2012,2871
5/28/2012,3034
5/29/2012,3082
5/30/2012,2131
5/31/2012,3207
6/1/2012,3184
6/2/2012,2250
6/3/2012,2118
6/4/2012,2570
6/5/2012,2260
6/6/2012,2065
6/7/2012,3977
6/8/2012,2016
6/9/2012,2112
6/10/2012,2137
6/11/2012,2228
6/12/2012,2217
6/13/2012,2223
6/14/2012,2018
6/15/2012,3109
6/16/2012,2315
6/17/2012,2170
6/18/2012,4053
6/19/2012,4300
6/20/2012,2619
6/21/2012,2452
6/22/2012,2229
6/23/2012,2800
6/24/2012,2880
6/25/2012,2515
6/26/2012,4020
6/27/2012,2193
6/28/2012,2064
6/29/2012,4220
6/30/2012,2450
7/1/2012,4152
7/2/2012,4035
7/3/2012,2322
7/4/2012,4509
7/5/2012,3138
7/6/2012,3029
7/7/2012,3441
7/8/2012,3136
7/9/2012,2121
7/10/2012,3023
7/11/2012,3337
7/12/2012,2216
7/13/2012,4074
7/14/2012,2101
7/15/2012,2153
7/16/2012,2164
7/17/2012,2160
7/18/2012,2756
7/19/2012,4510
7/20/2012,2075
7/21/2012,2647
7/22/2012,2154
7/23/2012,2565
7/24/2012,2731
7/25/2012,3185
7/26/2012,2164
7/27/2012,2323
7/28/2012,3130
7/29/2012,3757
7/30/2012,3284
7/31/2012,2204
8/1/2012,2037
8/2/2012,4211
8/3/2012,2153
8/4/2012,2527
8/5/2012,2747
8/6/2012,2152
8/7/2012,2118
8/8/2012,2168
8/9/2012,2067
8/10/2012,3021
8/11/2012,2573
8/12/2012,2118
8/13/2012,2759
8/14/2012,3185
8/15/2012,2206
8/16/2012,4869
8/17/2012,4226
8/18/2012,2062
8/19/2012,4814
8/20/2012,3076
8/21/2012,4815
8/22/2012,2076
8/23/2012,2539
8/24/2012,2147
8/25/2012,3184
8/26/2012,4503
8/27/2012,4127
8/28/2012,2206
8/29/2012,3162
8/30/2012,2526
8/31/2012,2579
9/1/2012,2177
9/2/2012,3165
9/3/2012,3201
9/4/2012,2768
9/5/2012,2160
9/6/2012,2148
9/7/2012,4502
9/8/2012,2166
9/9/2012,4551
9/10/2012,4127
9/11/2012,2222
9/12/2012,2710
9/13/2012,4510
9/14/2012,2090
9/15/2012,3038
9/16/2012,3551
9/17/2012,2250
9/18/2012,4122
9/19/2012,3031
9/20/2012,3145
9/21/2012,3142
9/22/2012,2710
9/23/2012,2576
9/24/2012,4209
9/25/2012,3442
9/26/2012,2153
9/27/2012,4064
9/28/2012,4152
9/29/2012,2230
9/30/2012,2127
10/1/2012,2529
10/2/2012,2170
10/3/2012,2212
10/4/2012,2150
10/5/2012,2118
10/6/2012,4012
10/7/2012,2747
10/8/2012,4217
10/9/2012,2430
10/10/2012,3039
10/11/2012,2017
10/12/2012,2213
10/13/2012,2061
10/14/2012,3644
10/15/2012,2104
10/16/2012,3173
10/17/2012,2830
10/18/2012,2044
10/19/2012,2168
10/20/2012,2320
10/21/2012,4118
10/22/2012,3043
10/23/2012,2251
10/24/2012,2560
10/25/2012,2873
10/26/2012,2541
10/27/2012,4350
10/28/2012,2761
10/29/2012,2155
10/30/2012,4017
10/31/2012,2222
11/1/2012,2222
11/2/2012,3429
11/3/2012,2321
11/4/2012,2079
11/5/2012,3072
11/6/2012,2230
11/7/2012,2007
11/8/2012,2620
11/9/2012,3034
11/10/2012,2086
11/11/2012,2231
11/12/2012,3175
11/13/2012,2580
11/14/2012,3037
11/15/2012,3550
11/16/2012,3218
11/17/2012,2020
11/18/2012,3930
11/19/2012,2480
11/20/2012,2259
11/21/2012,3130
11/22/2012,3029
11/23/2012,2285
11/24/2012,2830
11/25/2012,2119
11/26/2012,2153
11/27/2012,2120
11/28/2012,4573
11/29/2012,2085
11/30/2012,2763
12/1/2012,2852
12/2/2012,3030
12/3/2012,3677
12/4/2012,3030
12/5/2012,4122
12/6/2012,2760
12/7/2012,2750
12/8/2012,3806
12/9/2012,2155
12/10/2012,2127
12/11/2012,2155
12/12/2012,4873
12/13/2012,4820
12/14/2012,4873
12/15/2012,4817
12/16/2012,4818
12/17/2012,4519
12/18/2012,4806
12/19/2012,4805
12/20/2012,4701
12/21/2012,2478
12/22/2012,4560
12/23/2012,4740
12/24/2012,4720
12/25/2012,4702
12/26/2012,4702
12/27/2012,4127
12/28/2012,4670
12/29/2012,4670
12/30/2012,4670
12/31/2012,4655
1/1/2013,4610
1/2/2013,4655
1/3/2013,4551
1/4/2013,4702
1/5/2013,4702
1/6/2013,4506
1/7/2013,4503
1/8/2013,4503
1/9/2013,4512
1/10/2013,4511
1/11/2013,4500
1/12/2013,4380
1/13/2013,4370
1/14/2013,4817
1/15/2013,4350
1/16/2013,4213
1/17/2013,4340
1/18/2013,4122
1/19/2013,4306
1/20/2013,4306
1/21/2013,4306
1/22/2013,4306
1/23/2013,4306
1/24/2013,4306
1/25/2013,4305
1/26/2013,4304
1/27/2013,4301
1/28/2013,4300
1/29/2013,4212
1/30/2013,4209
1/31/2013,4211
2/1/2013,4210
2/2/2013,4205
2/3/2013,4051
2/4/2013,4165
2/5/2013,4165
2/6/2013,4053
2/7/2013,4217
2/8/2013,4130
2/9/2013,4124
2/10/2013,4208
2/11/2013,4123
2/12/2013,4118
2/13/2013,4115
2/14/2013,4164
2/15/2013,4127
2/16/2013,4115
2/17/2013,4152
2/18/2013,2452
2/19/2013,3931
2/20/2013,4280
2/21/2013,4300
2/22/2013,4055
2/23/2013,4128
2/24/2013,4500
2/25/2013,4370
2/26/2013,4017
2/27/2013,4053
2/28/2013,4020
3/1/2013,4019
3/2/2013,3188
3/3/2013,3977
3/4/2013,3806
3/5/2013,3940
3/6/2013,3939
3/7/2013,3910
3/8/2013,3977
3/9/2013,3840
3/10/2013,3840
3/11/2013,3977
3/12/2013,3810
3/13/2013,3806
3/14/2013,3804
3/15/2013,3805
3/16/2013,3765
3/17/2013,3757
3/18/2013,2582
3/19/2013,3196
3/20/2013,3747
3/21/2013,3677
3/22/2013,3620
3/23/2013,3620
3/24/2013,3630
3/25/2013,3151
3/26/2013,3023
3/27/2013,3564
3/28/2013,3199
3/29/2013,3500
3/30/2013,3444
3/31/2013,3444
4/1/2013,3076
4/2/2013,3380
4/3/2013,3340
4/4/2013,3338
4/5/2013,3337
4/6/2013,3280
4/7/2013,3224
4/8/2013,3222
4/9/2013,3222
4/10/2013,3222
4/11/2013,4164
4/12/2013,3226
4/13/2013,3204
4/14/2013,3201
4/15/2013,3201
4/16/2013,3840
4/17/2013,3198
4/18/2013,3198
4/19/2013,3190
4/20/2013,3156
4/21/2013,3169
4/22/2013,3170
4/23/2013,3163
4/24/2013,3161
4/25/2013,3791
4/26/2013,3156
4/27/2013,3155
4/28/2013,3977
4/29/2013,4119
4/30/2013,3140
5/1/2013,3136
5/2/2013,3818
5/3/2013,3028
5/4/2013,3106
5/5/2013,3082
5/6/2013,3099
5/7/2013,3752
5/8/2013,3754
5/9/2013,3140
5/10/2013,3068
5/11/2013,3756
5/12/2013,3061
5/13/2013,3048
5/14/2013,3046
5/15/2013,4217
5/16/2013,3036
5/17/2013,3107
